imu9250 monitor started
time, gx, gy, gz, ax, ay, az, mx, my, mz, comp, temp
12954,-1.046,-0.868,0.014,0.007,0.010,1.036,36.157,-16.819,10.139,204.946,23.29713927606678
13055,-1.185,-0.267,-8.775,0.007,0.011,1.036,36.273,-16.724,10.300,204.752,23.304360116453505
13157,-0.905,0.041,-18.736,0.008,0.012,1.036,36.245,-16.708,10.309,204.748,23.33889049529537
13258,-0.781,1.202,-34.086,0.019,0.017,1.041,35.564,-17.055,10.077,205.620,23.289838247615574
13359,-0.885,2.168,-43.962,0.015,0.010,1.035,34.179,-17.152,10.310,206.649,23.28893472484838
13460,-1.209,3.337,-55.329,0.008,0.006,1.037,33.071,-17.230,10.497,207.520,23.31696561316711
13561,0.075,2.029,-62.751,-0.008,0.002,1.034,31.494,-17.443,10.497,208.979,23.31063661728961
13662,-0.105,2.090,-62.343,-0.007,0.011,1.033,29.334,-17.433,10.317,210.723,23.295988851743452
13764,-0.023,1.861,-63.525,-0.002,0.019,1.033,27.006,-16.945,10.173,212.107,23.303439776994843
13865,-0.023,1.861,-63.525,-0.002,0.019,1.033,27.006,-16.945,10.173,212.107,23.303439776994843
13966,0.639,0.778,-59.735,0.008,0.019,1.036,24.663,-16.375,9.877,213.582,23.309400517195957
14067,-0.319,1.466,-62.286,0.005,0.026,1.033,22.519,-15.469,9.731,214.486,23.31416910935685
14168,-0.433,1.454,-56.869,0.003,0.025,1.033,20.684,-14.324,9.614,214.703,23.308399414241403
14269,-0.766,1.381,-47.767,-0.001,0.024,1.035,19.157,-13.409,9.461,214.990,23.34212193352569
14371,-0.836,1.512,-47.235,-0.002,0.018,1.032,17.934,-12.676,9.338,215.253,23.29242339819983
14472,-1.056,1.343,-37.814,-0.005,0.015,1.032,16.806,-11.820,9.210,215.120,23.31975655184827
14573,-1.323,1.216,-30.195,-0.007,0.012,1.033,15.784,-11.076,9.287,215.057,23.303284799390376
14674,-1.469,1.110,-24.125,-0.009,0.012,1.033,14.966,-10.420,9.349,214.846,23.30927653511238
14775,-1.506,1.070,-20.594,-0.012,0.015,1.034,14.042,-9.985,9.488,215.416,23.29490078600167
14876,-1.432,1.088,-19.274,-0.015,0.019,1.035,13.363,-9.458,9.600,215.289,23.32173846208974
14977,-1.600,1.023,-15.404,-0.015,0.016,1.034,12.969,-9.005,9.779,214.775,23.304870327583554
15079,-1.714,0.919,-12.355,-0.015,0.013,1.034,12.775,-8.644,9.922,214.084,23.300960388822766
15180,-1.661,0.824,-9.849,-0.015,0.012,1.033,12.619,-8.354,10.037,213.507,23.307417006658294
15281,-1.928,0.804,-7.803,-0.015,0.010,1.032,12.434,-8.363,9.829,213.924,23.31258230092672
15382,-2.005,0.838,-6.267,-0.014,0.008,1.032,12.346,-8.370,9.782,214.134,23.3071299674973
15483,-2.428,0.924,-4.929,-0.012,0.007,1.033,12.066,-8.165,9.955,214.086,23.302768100753763
15584,-2.428,0.924,-4.929,-0.012,0.007,1.033,12.066,-8.165,9.955,214.086,23.302768100753763
15686,-2.377,0.877,-3.939,-0.013,0.007,1.035,12.112,-8.211,9.703,214.136,23.299278607358936
