imu9250 monitor started
gx, gy, gz, ax, ay, az, mx, my, mz, comp, temp
-2.186,0.652,-0.170,0.006,0.012,1.040,36.305,-16.915,10.437,204.981,23.313941955155563
-2.235,0.643,-0.107,0.006,0.013,1.038,36.451,-16.861,10.419,204.823,23.317802259724534
-2.235,0.643,-0.107,0.006,0.013,1.038,36.451,-16.861,10.419,204.823,23.317802259724534
-2.245,0.651,-0.070,0.006,0.012,1.036,36.388,-16.877,10.224,204.882,23.30172136569139
-2.196,0.652,-0.030,0.007,0.011,1.035,36.218,-16.710,10.009,204.768,23.288856650464872
-2.249,0.652,-0.053,0.006,0.012,1.033,36.141,-16.577,9.896,204.640,23.29773401597198
-2.271,0.642,-0.032,0.006,0.011,1.033,36.110,-16.560,9.896,204.637,23.30483590837767
-2.255,0.623,-0.062,0.005,0.011,1.033,35.965,-16.547,9.896,204.706,23.300932853458058
-2.236,0.634,0.042,0.006,0.010,1.033,36.059,-16.626,9.806,204.753,23.28822584067821
-2.237,0.656,0.058,0.006,0.010,1.033,36.134,-16.690,9.734,204.791,23.258891092766007
-2.232,0.723,0.101,0.007,0.010,1.033,35.955,-16.620,9.856,204.809,23.273761569812887
-2.234,0.728,0.107,0.007,0.009,1.033,35.961,-16.775,9.984,205.008,23.285657951450396
-2.256,0.712,0.044,0.007,0.009,1.033,36.355,-16.629,9.937,204.579,23.28559048791624
-2.287,0.731,0.048,0.007,0.009,1.034,36.281,-16.841,9.929,204.900,23.275951948244757
-2.234,0.670,0.049,0.007,0.009,1.035,36.192,-16.802,10.012,204.902,23.28741025419589
-2.242,0.718,0.100,0.007,0.010,1.035,36.211,-16.860,9.809,204.967,23.24865405473599
-2.239,0.692,0.108,0.007,0.011,1.035,35.926,-16.967,9.886,205.280,23.265571939388877
-2.248,0.673,0.138,0.007,0.010,1.035,35.698,-17.052,9.948,205.532,23.279106247111184
-2.199,0.678,0.162,0.007,0.011,1.034,35.785,-16.970,9.908,205.371,23.289933693289033
-2.199,0.678,0.162,0.007,0.011,1.034,35.785,-16.970,9.908,205.371,23.289933693289033
-2.208,0.646,0.115,0.007,0.010,1.035,35.945,-16.875,9.965,205.148,23.27942651254299
-2.197,0.665,0.154,0.007,0.009,1.035,36.013,-16.858,9.951,205.085,23.280605336790316
-2.179,0.660,0.110,0.007,0.009,1.034,36.128,-16.845,9.940,204.998,23.291132965032336
-2.181,0.688,0.098,0.007,0.010,1.035,36.279,-16.715,9.931,204.737,23.318724205314275
-2.218,0.728,0.054,0.008,0.010,1.036,35.980,-16.911,9.984,205.173,23.28328978447486
-2.287,0.710,0.088,0.008,0.010,1.037,36.011,-16.797,9.997,205.006,23.254942247803328
-2.284,0.715,0.095,0.008,0.009,1.036,36.036,-16.706,10.007,204.872,23.251433356154426
-2.290,0.715,0.108,0.008,0.010,1.036,36.176,-16.694,10.194,204.771,23.258210811679465
-2.253,0.690,0.132,0.007,0.010,1.036,36.138,-16.474,10.375,204.506,23.273217344943657
-2.275,0.672,0.106,0.008,0.010,1.036,36.197,-16.568,10.489,204.594,23.28522257155501
-2.226,0.666,0.112,0.008,0.011,1.036,36.185,-16.523,10.340,204.542,23.25648847746745
-2.256,0.685,0.048,0.008,0.010,1.035,36.205,-16.637,10.191,204.680,23.27183947757404
-2.215,0.690,-0.007,0.008,0.010,1.036,36.131,-16.638,10.222,204.726,23.274535708815158
-2.231,0.694,0.013,0.008,0.010,1.035,36.072,-16.639,10.247,204.763,23.247938987275568
-2.244,0.670,-0.008,0.007,0.010,1.034,36.115,-16.910,10.117,205.090,23.226661610043895
-2.244,0.670,-0.008,0.007,0.010,1.034,36.115,-16.910,10.117,205.090,23.226661610043895
-2.207,0.601,-0.025,0.007,0.010,1.034,36.269,-16.886,10.133,204.966,23.276731690167683
-2.183,0.579,-0.011,0.007,0.010,1.033,36.092,-16.868,9.965,205.049,23.27844947889007
-2.170,0.602,0.020,0.007,0.009,1.033,36.341,-16.943,9.742,204.996,23.28940827871214
-2.192,0.601,0.010,0.007,0.010,1.034,36.240,-16.883,9.802,204.979,23.298175318569797
-2.207,0.630,0.013,0.007,0.010,1.035,36.129,-16.805,9.881,204.945,23.324358088144244
-2.187,0.670,0.007,0.008,0.010,1.035,36.130,-17.073,10.154,205.292,23.31655059727132
-2.166,0.674,-0.017,0.007,0.010,1.036,36.131,-17.287,10.372,205.568,23.31030460457298
-2.171,0.661,-0.002,0.007,0.010,1.035,36.042,-17.068,10.217,205.340,23.266969535037664
-2.138,0.651,0.046,0.008,0.010,1.034,36.001,-16.803,10.363,205.020,23.270639754786053
-2.156,0.663,0.061,0.007,0.010,1.034,36.088,-16.831,10.599,205.004,23.273575930584766
-2.181,0.657,0.063,0.008,0.011,1.033,36.067,-16.764,10.579,204.928,23.304678577756217
-2.232,0.676,0.101,0.007,0.011,1.034,35.901,-16.679,10.532,204.920,23.291222420116735
-2.242,0.683,0.099,0.007,0.010,1.034,36.008,-16.912,10.375,205.159,23.299626631693474
-2.269,0.659,0.125,0.007,0.012,1.035,36.153,-16.738,10.369,204.843,23.325519138643184
-2.252,0.656,0.094,0.008,0.011,1.034,36.270,-16.599,10.364,204.592,23.30789486882631
-2.270,0.674,0.092,0.007,0.011,1.033,36.270,-16.599,10.364,204.592,23.30338002181697
-2.270,0.674,0.092,0.007,0.011,1.033,36.093,-16.698,10.451,204.827,23.30338002181697
-2.280,0.684,0.145,0.007,0.011,1.033,36.041,-16.567,10.310,204.687,23.30935271305366
-2.243,0.701,0.148,0.008,0.010,1.034,36.030,-16.672,10.467,204.832,23.30454629719885
-2.253,0.695,0.091,0.008,0.011,1.032,36.291,-16.786,10.503,204.823,23.310285733359166
-2.277,0.682,0.068,0.007,0.011,1.033,36.200,-16.518,10.291,204.527,23.314877282287416
-2.258,0.686,0.079,0.007,0.011,1.033,36.187,-16.663,10.542,204.725,23.31855052143002
-2.238,0.713,0.095,0.007,0.010,1.034,36.237,-16.719,10.383,204.768,23.283150837367454
-2.239,0.716,0.140,0.007,0.010,1.035,36.276,-16.764,10.256,204.802,23.283584796649887
-2.231,0.714,0.140,0.008,0.011,1.034,36.278,-16.890,10.244,204.965,23.245593688699188
-2.206,0.730,0.121,0.007,0.010,1.034,36.250,-16.960,10.444,205.074,23.253539077715274
-2.184,0.758,0.107,0.008,0.011,1.034,36.347,-16.957,10.484,205.011,23.2694799577723
-2.181,0.759,0.100,0.007,0.010,1.033,36.364,-17.014,10.337,205.074,23.23430981759712
-2.195,0.761,0.077,0.007,0.011,1.033,36.379,-16.940,10.219,204.969,23.206173705456973
-2.201,0.737,0.096,0.007,0.011,1.034,36.510,-16.941,10.184,204.891,23.250756797653985
-2.199,0.707,0.172,0.006,0.011,1.035,36.555,-17.061,10.156,205.020,23.257669564879112
-2.228,0.722,0.122,0.006,0.011,1.036,36.591,-17.157,10.134,205.122,23.215276934438407
-2.228,0.722,0.122,0.006,0.011,1.036,36.591,-17.157,10.134,205.122,23.215276934438407
-2.287,0.687,0.115,0.007,0.011,1.036,36.680,-17.174,10.357,205.090,23.219701105462487
-2.263,0.661,0.128,0.007,0.011,1.036,36.421,-17.158,10.384,205.226,23.261578717658395
-2.271,0.671,0.129,0.007,0.011,1.036,36.484,-16.935,10.377,204.900,23.25674253203848
-2.260,0.706,0.152,0.008,0.010,1.036,36.534,-17.057,10.310,205.027,23.262458152386706
-2.212,0.722,0.184,0.007,0.011,1.035,36.394,-17.214,10.378,205.313,23.27661521750945
-2.209,0.695,0.152,0.007,0.011,1.036,36.253,-17.130,10.161,205.291,23.268771731919323
-2.217,0.686,0.144,0.008,0.010,1.036,36.259,-17.242,10.348,205.433,23.272081512291383
-2.209,0.649,0.073,0.009,0.010,1.036,36.264,-17.332,10.498,205.545,23.265144767744868
-2.245,0.683,0.061,0.009,0.010,1.036,36.388,-17.285,10.377,205.408,23.27876450979598
-2.261,0.679,0.032,0.009,0.010,1.036,36.158,-17.276,10.491,205.539,23.289660303436868
-2.328,0.703,-0.005,0.008,0.011,1.036,36.393,-17.210,10.402,205.309,23.298376938349577
-2.321,0.688,0.024,0.009,0.011,1.038,36.072,-17.126,10.361,205.398,23.286181108591425
-2.315,0.648,0.072,0.008,0.010,1.039,36.174,-17.060,10.268,205.248,23.238086169408255
-2.320,0.622,0.070,0.008,0.011,1.037,36.137,-17.066,10.253,205.280,23.27628676881501
-2.334,0.630,0.056,0.008,0.010,1.037,36.106,-17.072,10.242,205.306,23.249339835275446
-2.307,0.633,0.060,0.008,0.010,1.036,36.022,-17.136,10.173,205.441,23.227782288443798
-2.307,0.633,0.060,0.008,0.010,1.036,36.022,-17.136,10.173,205.441,23.227782288443798
-2.295,0.649,0.074,0.008,0.010,1.036,36.105,-17.037,9.967,205.262,23.2297053886668
-2.306,0.622,0.085,0.007,0.010,1.036,35.991,-17.079,9.743,205.385,23.250413006533524
-2.309,0.671,0.032,0.007,0.010,1.037,35.900,-16.931,9.684,205.250,23.22864082545026
-2.302,0.716,0.045,0.007,0.010,1.036,36.067,-17.054,9.876,205.307,23.201638511739485
-2.337,0.702,0.091,0.007,0.010,1.036,36.111,-17.002,9.880,205.212,23.20879036730335
-2.366,0.727,0.056,0.007,0.011,1.037,36.355,-17.290,10.153,205.435,23.214511851754445
-2.343,0.717,0.092,0.007,0.011,1.036,36.551,-17.520,10.372,205.610,23.25742731469196
-2.312,0.729,0.124,0.006,0.012,1.035,36.408,-17.405,10.366,205.550,23.25342140966533
-2.362,0.745,0.069,0.006,0.012,1.035,36.414,-17.313,10.242,205.428,23.250216685644027
-2.328,0.740,0.060,0.006,0.012,1.035,36.448,-17.149,10.293,205.197,23.247652906426985
-2.355,0.750,0.048,0.007,0.012,1.034,36.235,-17.138,10.334,205.312,23.226432745365027
-2.350,0.722,0.026,0.007,0.012,1.034,36.335,-17.039,10.336,205.123,23.238210323047944
-2.342,0.764,0.025,0.007,0.011,1.034,36.175,-17.020,10.338,205.196,23.238047816350118
-2.301,0.768,0.019,0.006,0.011,1.034,36.137,-17.214,10.130,205.471,23.257086948680175
-2.300,0.764,-0.000,0.007,0.011,1.034,36.107,-17.370,9.963,205.691,23.23397997916758
-2.295,0.759,0.021,0.007,0.010,1.031,36.107,-17.370,9.963,205.691,23.244248110089988
-2.295,0.759,0.021,0.007,0.010,1.031,36.233,-17.404,9.980,205.658,23.244248110089988
-2.274,0.713,0.075,0.007,0.011,1.030,36.183,-17.282,9.963,205.531,23.22370890829543
-2.272,0.666,0.089,0.006,0.010,1.030,36.234,-17.154,9.859,205.335,23.245615822236424
-2.269,0.680,0.038,0.006,0.010,1.031,36.304,-17.262,9.927,205.431,23.25355678454506
-2.275,0.727,0.032,0.007,0.010,1.031,36.390,-17.078,10.131,205.141,23.269494123236132
-2.308,0.707,0.031,0.007,0.010,1.031,36.249,-17.021,10.443,205.153,23.27265942534483
-2.312,0.703,0.042,0.007,0.010,1.032,36.106,-17.126,10.184,205.375,23.28477623587595
-2.335,0.715,0.001,0.007,0.011,1.032,35.992,-17.209,9.976,205.554,23.294469684300843
-2.278,0.686,0.021,0.007,0.010,1.032,35.991,-17.126,9.960,205.447,23.302224443040757
-2.265,0.674,0.070,0.008,0.010,1.033,36.140,-17.029,10.037,205.230,23.308428250032687
-2.253,0.667,0.084,0.008,0.009,1.033,36.289,-16.982,10.009,205.078,23.26546845140543
-2.225,0.687,0.070,0.008,0.010,1.034,36.138,-17.094,10.017,205.315,23.279023456724428
-2.217,0.665,0.082,0.009,0.010,1.035,36.377,-16.764,10.082,204.742,23.280282892135467
-2.249,0.720,0.043,0.009,0.010,1.035,36.389,-16.800,9.955,204.782,23.271705871620135
-2.230,0.706,0.063,0.008,0.010,1.034,36.398,-16.829,9.853,204.813,23.284013392896192
-2.234,0.690,0.057,0.008,0.011,1.034,36.526,-17.031,10.072,204.999,23.274690272228717
-2.234,0.690,0.057,0.008,0.011,1.034,36.526,-17.031,10.072,204.999,23.274690272228717
-2.231,0.680,-0.007,0.008,0.011,1.033,36.448,-17.014,10.127,205.023,23.305570051071378
-2.290,0.672,-0.014,0.008,0.011,1.033,36.685,-16.820,10.110,204.631,23.359027580677992
-2.259,0.678,0.022,0.008,0.010,1.032,36.455,-16.784,10.038,204.722,23.344286191298316
-2.258,0.651,0.018,0.008,0.010,1.034,36.481,-16.726,9.949,204.631,23.361246786327058
-2.310,0.641,0.058,0.009,0.011,1.034,36.502,-16.860,10.059,204.791,23.34606155581757
-2.330,0.659,0.080,0.009,0.011,1.035,36.309,-16.696,10.056,204.695,23.305159664877497
-2.291,0.625,0.050,0.008,0.011,1.035,36.154,-16.566,10.054,204.617,23.301191858657923
